"","tconst","title","year","runtime","genres","averageRating","numVotes","average_age"
"25621","tt0119643","Meet Joe Black","1998","178","Drama,Fantasy,Romance",7.2,195060,43.3333333333333
"25624","tt0119644","Meet Wally Sparks","1997","105","Comedy",5.2,2936,64
"25627","tt0119654","Men in Black","1997","98","Adventure,Comedy,Mystery",7.3,475535,39.3333333333333
"25630","tt0119657","Men with Guns","1997","127","Adventure,Drama",7.6,2499,38
"25632","tt0119664","Metro","1997","117","Action,Comedy,Crime",5.5,23957,39.3333333333333
"25635","tt0119665","Metroland","1997","105","Comedy,Drama",6.4,3023,24.5
"25637","tt0119668","Midnight in the Garden of Good and Evil","1997","155","Crime,Drama,Mystery",6.6,34975,42
"25640","tt0119670","The Mighty","1998","100","Comedy,Drama",7.3,11671,36.3333333333333
"25643","tt0119675","Mimic","1997","105","Horror,Sci-Fi",5.9,42741,33.6666666666667
"25646","tt0119677","A miniszter félrelép","1997","105","Comedy",6.8,2207,48
"25649","tt0119683","Les Misérables","1998","134","Crime,Drama,History",7.5,35967,45
"25652","tt0119695","Money Talks","1997","97","Action,Comedy,Crime",6.2,26022,29
"25654","tt0119698","Princess Mononoke","1997","134","Adventure,Animation,Fantasy",8.4,294420,29.5
"25656","tt0119699","Montana","1998","96","Action,Comedy,Crime",6.3,1341,43
"25658","tt0119707","Mortal Kombat: Annihilation","1997","95","Action,Adventure,Fantasy",3.7,42723,40.5
"25660","tt0119709","Most Wanted","1997","99","Action,Thriller",5.6,5354,45.6666666666667
"25663","tt0119711","Mother and Son","1997","73","Drama",7.5,3391,35
"25664","tt0119715","Mousehunt","1997","98","Comedy",6.4,47579,40.6666666666667
"25667","tt0119717","Mr. Jealousy","1997","103","Comedy,Romance",6.5,1709,32.6666666666667
"25670","tt0119718","Mr. Magoo","1997","87","Adventure,Comedy,Family",3.9,13452,44
"25673","tt0119723","Mrs Dalloway","1997","97","Drama,Romance",6.8,3264,38
"25675","tt0119731","Murder at 1600","1997","107","Action,Crime,Drama",6.1,26710,42
"25678","tt0119734","Music from Another Room","1998","104","Comedy,Drama,Romance",6.5,4522,26
"25679","tt0119738","My Best Friend's Wedding","1997","105","Comedy,Drama,Romance",6.3,117311,36
"25681","tt0119743","My Son the Fanatic","1997","87","Comedy,Drama,Romance",7,1516,46.5
"25683","tt0119746","The Myth of Fingerprints","1997","93","Comedy,Drama,Romance",6.1,2310,45.5
"25685","tt0119763","Nattbuss 807","1997","106","Crime,Drama",4.8,1406,22.5
"25687","tt0119772","The Nephew","1998","105","Drama",6.6,1341,69
"25688","tt0119778","Next Stop Wonderland","1998","104","Comedy,Drama,Romance",6.7,4487,36
