"","tconst","title","year","runtime","genres","averageRating","numVotes","average_age"
"1","tt0002130","Dante's Inferno","1911","68","Adventure,Drama,Fantasy",7.1,1878,42
"2","tt0002844","Fantômas: In the Shadow of the Guillotine","1913","54","Crime,Drama",6.9,1814,30.3333333333333
"5","tt0003037","Fantomas: The Man in Black","1913","61","Crime,Drama",6.9,1267,30.3333333333333
"8","tt0003419","The Student of Prague","1913","85","Drama,Fantasy,Horror",6.6,1568,35.5
"10","tt0003643","The Avenging Conscience: or 'Thou Shalt Not Kill'","1914","78","Crime,Drama,Horror",6.9,1018,33.1666666666667
"16","tt0003740","Cabiria","1914","148","Adventure,Drama,History",6.8,2770,36
"17","tt0003930","Fantomas: The Mysterious Finger Print","1914","59","Crime,Drama",6.8,1092,31
"19","tt0004181","Judith of Bethulia","1914","61","Drama",7.2,1165,28.5
"21","tt0004707","Tillie's Punctured Romance","1914","82","Comedy",7,3102,31.5
"23","tt0004972","The Birth of a Nation","1915","195","Drama,History,War",6.6,20377,37
"24","tt0005078","The Cheat","1915","59","Drama,Romance",6.6,2164,40.6666666666667
"27","tt0005960","The Regeneration","1915","72","Biography,Crime,Drama",6.9,1023,28.5
"29","tt0006206","Les vampires","1915","421","Action,Adventure,Crime",6.9,3848,33.75
"33","tt0006333","20,000 Leagues Under the Sea","1916","105","Action,Adventure,Sci-Fi",6.9,1409,36.3333333333333
"36","tt0006864","Intolerance: Love's Struggle Throughout the Ages","1916","163","Drama,History",7.9,12790,40.5
"38","tt0008443","The Poor Little Rich Girl","1917","65","Comedy,Drama,Family",6.8,1202,44
"39","tt0008663","A Man There Was","1917","48","Drama,War",7.4,1339,36.5
"41","tt0008879","The Outlaw and His Wife","1918","136","Drama",7.2,1378,39.3333333333333
"44","tt0009369","Mickey","1918","93","Comedy,Drama",7,1026,44
"46","tt0009611","Shoulder Arms","1918","45","Comedy,War",7,5188,35.5
"54","tt0009652","Stella Maris","1918","84","Drama",7.3,1301,56
"56","tt0009878","Different from the Others","1919","50","Crime,Drama,History",6.9,1003,42.5
"58","tt0009893","The Oyster Princess","1919","58","Comedy",7.2,1505,37.3333333333333
"61","tt0009937","Blind Husbands","1919","99","Drama,Romance",6.9,1246,40
"64","tt0009968","Broken Blossoms","1919","90","Drama,Romance",7.6,8545,33.8
"69","tt0010040","Daddy-Long-Legs","1919","85","Comedy,Drama",7.4,1271,39
"70","tt0010071","Don't Change Your Husband","1919","71","Comedy",7.7,1086,44.3333333333333
"73","tt0010247","Sir Arne's Treasure","1919","122","Drama,History",7.1,1072,40.75
"77","tt0010281","I Don't Want to Be a Man","1918","45","Comedy,Romance",7,1116,39
"80","tt0010307","J'accuse!","1919","166","Drama,Horror,War",7.4,1244,49
"83","tt0010323","The Cabinet of Dr. Caligari","1920","76","Fantasy,Horror,Mystery",8.1,49739,31.3333333333333
"86","tt0010418","Male and Female","1919","116","Adventure,Drama",7.8,1645,40.75
"90","tt0010600","The Doll","1919","48","Comedy,Fantasy",7.3,1488,32
"92","tt0010806","True Heart Susie","1919","87","Comedy,Drama,Romance",7.2,1478,45.6666666666667
"95","tt0011000","Leaves From Satan's Book","1920","167","Drama",6.8,1012,46.4
"100","tt0011130","Dr. Jekyll and Mr. Hyde","1920","82","Drama,Horror,Sci-Fi",7,4310,47.6666666666667
"103","tt0011237","The Golem","1920","91","Fantasy,Horror",7.2,5734,41.3333333333333
"106","tt0011387","The Last of the Mohicans","1920","73","Action,Adventure,Drama",6.8,1013,34.5
"108","tt0011439","The Mark of Zorro","1920","107","Adventure,Romance,Western",7.2,1977,36.3333333333333
"111","tt0011565","The Penalty","1920","90","Crime,Drama,Horror",7.5,1834,38.3333333333333
"114","tt0011652","The Saphead","1920","77","Comedy",6.2,1300,51.6666666666667
"117","tt0011841","Way Down East","1920","145","Drama,Romance",7.8,4608,28.5
"119","tt0011865","Why Change Your Wife?","1920","90","Comedy,Drama",7.8,1280,39.5
"121","tt0011870","Within Our Gates","1920","79","Drama,Romance",6.4,1952,36
"124","tt0011909","The Affairs of Anatol","1921","117","Comedy,Drama",7.8,1179,45
"126","tt0012190","The Four Horsemen of the Apocalypse","1921","150","Drama,Romance,War",7.8,2893,44
"129","tt0012349","The Kid","1921","68","Comedy,Drama,Family",8.3,97265,34.5714285714286
"136","tt0012364","The Phantom Carriage","1921","100","Drama,Fantasy,Horror",8.1,8871,40.5
"140","tt0012494","Destiny","1921","97","Drama,Fantasy,Thriller",7.7,4539,38
"143","tt0012532","Orphans of the Storm","1921","150","Drama,History,Romance",7.8,4390,45
"145","tt0012651","The Haunted Castle","1921","75","Crime,Drama,Horror",6.3,1225,43
"148","tt0012675","The Sheik","1921","86","Adventure,Drama,Romance",7.1,2905,28
"151","tt0012763","Tol'able David","1921","99","Drama",7.8,1664,41.3333333333333
"154","tt0012938","Beyond the Rocks","1922","80","Drama,Romance",7.6,2171,41
"156","tt0012952","Blood and Sand","1922","80","Drama,Romance,Sport",7.2,1161,33.5
"158","tt0013075","Dr. Jack","1922","59","Comedy",7.1,1113,45.6666666666667
"161","tt0013086","Dr. Mabuse the Gambler","1922","242","Crime,Mystery,Thriller",7.9,6583,40
"163","tt0013140","Foolish Wives","1922","117","Drama,Thriller",7.2,2673,53
"164","tt0013201","Grandma's Boy","1922","60","Comedy,Family",7.1,1513,32
"166","tt0013257","Häxan","1922","91","Documentary,Fantasy,Horror",7.7,10135,43
"167","tt0013442","Nosferatu","1922","94","Fantasy,Horror",8,80671,33
"170","tt0013496","Phantom","1922","125","Drama,Fantasy,Romance",7,1390,33.5
"172","tt0013556","Robin Hood","1922","143","Adventure,Family,Romance",7.5,1855,41.3333333333333
"175","tt0013626","The Smiling Madame Beudet","1923","54","Drama",6.8,1780,48
"177","tt0014029","The Extra Girl","1923","68","Comedy,Romance",7.7,1014,41
"179","tt0014142","The Hunchback of Notre Dame","1923","133","Drama,Horror,Romance",7.3,4288,34.5
"181","tt0014341","Our Hospitality","1923","65","Comedy,Romance,Thriller",7.9,9163,45.3333333333333
"184","tt0014358","The Pilgrim","1923","47","Comedy",7.4,3758,34.2857142857143
"191","tt0014417","The Wheel","1923","273","Drama",7.6,1575,46.6666666666667
"194","tt0014429","Safety Last!","1923","70","Action,Comedy,Thriller",8.2,16330,31
"197","tt0014532","The Ten Commandments","1923","136","Biography,Drama,Fantasy",7,1725,53
"199","tt0014538","Three Ages","1923","63","Comedy",7.1,3645,39.3333333333333
"202","tt0014586","Waxworks","1924","65","Fantasy,Horror",6.8,1462,35.5
"206","tt0014611","Why Worry?","1923","63","Adventure,Comedy,Family",7.4,1439,36.6666666666667
"209","tt0014624","A Woman of Paris: A Drama of Fate","1923","82","Drama,Romance",7.1,4323,45.75
"213","tt0014646","Aelita: Queen of Mars","1924","111","Adventure,Drama,Fantasy",6.6,2131,27.3333333333333
"216","tt0014945","Girl Shy","1924","87","Comedy,Romance",7.9,2856,40.6666666666667
"219","tt0014972","He Who Gets Slapped","1924","95","Drama,Romance,Thriller",7.9,2688,34
"221","tt0015002","Hot Water","1924","60","Comedy",7.3,1143,34
"223","tt0015016","The Iron Horse","1924","150","History,Romance,Western",7.3,1726,37.6666666666667
"226","tt0015064","The Last Laugh","1924","77","Drama",8.1,11072,37.5
"228","tt0015136","Michael","1924","93","Drama,Romance",7.3,1408,53
"231","tt0015163","The Navigator","1924","59","Action,Comedy,Romance",7.9,8137,46
"234","tt0015174","Die Nibelungen: Kriemhild's Revenge","1924","129","Adventure,Drama,Fantasy",7.9,3519,34.6666666666667
"237","tt0015175","Die Nibelungen: Siegfried","1924","143","Adventure,Drama,Fantasy",8.1,4641,35
"239","tt0015202","The Hands of Orlac","1924","92","Crime,Horror,Mystery",7.1,1902,46.3333333333333
"242","tt0015324","Sherlock Jr.","1924","45","Action,Comedy,Romance",8.2,33071,44
"245","tt0015361","Strike","1925","82","Drama",7.6,6258,24.6666666666667
"248","tt0015400","The Thief of Bagdad","1924","155","Adventure,Family,Fantasy",7.8,4964,49.6666666666667
"251","tt0015624","The Big Parade","1925","151","Drama,Romance,War",8.2,5743,43
"253","tt0015648","Battleship Potemkin","1925","75","Drama,History",8,48160,26.5
"257","tt0015768","Master of the House","1925","111","Drama",7.2,1499,41
"258","tt0015772","The Eagle","1925","73","Action,Comedy,Drama",7.2,1549,34
"260","tt0015841","The Freshman","1925","76","Comedy,Family,Romance",7.6,4539,28
"263","tt0015842","The Joyless Street","1925","125","Drama",7.4,1265,41
"264","tt0015863","Go West","1925","68","Comedy,Western",7.2,3395,40.3333333333333
"267","tt0015864","The Gold Rush","1925","95","Adventure,Comedy,Drama",8.2,89448,45.5
"273","tt0015881","Greed","1924","140","Drama,Thriller,Western",7.9,8247,42.5
"275","tt0016029","The Little Colonel","1935","81","Comedy,Family,Musical",7.1,1225,44.5
"277","tt0016039","The Lost World","1925","106","Adventure,Fantasy,Sci-Fi",7.1,4194,38
"280","tt0016104","The Merry Widow","1925","137","Drama,Romance",8,2019,29.5
"282","tt0016220","The Phantom of the Opera","1925","93","Horror",7.7,14999,38
"285","tt0016230","The Pleasure Garden","1925","75","Drama,Romance",6,1896,32
"287","tt0016332","Seven Chances","1925","56","Comedy,Romance",8,8110,44
"290","tt0016473","The Unholy Three","1925","86","Crime,Drama,Romance",7.3,1510,39.3333333333333
"293","tt0016544","The Wizard of Oz","1925","81","Adventure,Comedy,Family",5.2,1341,43
"295","tt0016630","Battling Butler","1926","77","Comedy",7.1,2359,44.3333333333333
"298","tt0016641","Ben-Hur: A Tale of the Christ","1925","143","Adventure,Drama,Romance",8,6819,34
"300","tt0016654","The Black Pirate","1926","88","Action,Adventure",7.1,1526,43.5
"302","tt0016669","La Bohème","1926","95","Drama,Romance",7.8,1364,37
"304","tt0016690","Brown of Harvard","1926","85","Drama,Romance",8.2,1359,26.6666666666667
"307","tt0016847","Faust","1926","107","Drama,Fantasy,Horror",8.1,12617,39
"309","tt0016884","Flesh and the Devil","1926","112","Drama,Romance",8,3716,34.5
"311","tt0016895","For Heaven's Sake","1926","58","Action,Comedy,Romance",7.5,1295,36.3333333333333
"314","tt0017048","A Page of Madness","1926","70","Drama,Horror",7.6,2289,45
"315","tt0017075","The Lodger: A Story of the London Fog","1927","68","Crime,Drama,Mystery",7.3,8978,40
"317","tt0017128","Mother","1926","89","Drama",7.6,2200,36.5
"319","tt0017136","Metropolis","1927","153","Drama,Sci-Fi",8.3,143886,38.3333333333333
"322","tt0017350","The Scarlet Letter","1926","115","Drama",7.8,1398,42.6666666666667
"325","tt0017416","The Son of the Sheik","1926","68","Adventure,Drama,Romance",7.3,1672,47.6666666666667
"328","tt0017423","Sparrows","1926","110","Drama",7.4,1091,53
"330","tt0017448","Tartuffe","1925","74","Drama",7.3,1718,42
"333","tt0017534","West Point","1927","95","Drama,Romance,Sport",7.7,1664,23.6666666666667
"336","tt0017739","The Cat and the Canary","1927","108","Comedy,Horror,Mystery",7.2,2438,47.6666666666667
"339","tt0017765","College","1927","66","Comedy,Drama,Sport",7.1,3941,28.5
"341","tt0017825","When Boys Leave Home","1927","80","Adventure,Drama,Thriller",6.2,1837,45
"345","tt0017843","Easy Virtue","1928","80","Romance,Thriller",5.7,2301,35.25
"349","tt0017925","The General","1926","67","Action,Adventure,Comedy",8.2,71705,39.3333333333333
"352","tt0018033","It","1927","72","Comedy,Romance",7.4,2712,41.5
"354","tt0018037","The Jazz Singer","1927","88","Drama,Music,Musical",6.7,8191,44.5
"356","tt0018051","The Kid Brother","1927","82","Comedy,Drama,Family",7.6,3383,38.6666666666667
"359","tt0018054","The King of Kings","1927","155","Biography,Drama,History",7.4,1739,45.4
"364","tt0018066","The End of St. Petersburg","1927","85","Drama",7.5,1330,33.5
"366","tt0018097","London After Midnight","1927","69","Horror",6.9,1106,53.3333333333333
"369","tt0018192","Napoleon","1927","240","Biography,Drama,History",7.6,6245,33
"372","tt0018217","October (Ten Days that Shook the World)","1927","142","Drama,History",7.5,6294,23
"373","tt0018311","The Red Mill","1927","74","Comedy,Romance",7.8,1282,44
"375","tt0018328","The Ring","1927","116","Drama,Romance,Sport",6.3,2862,37.2
"380","tt0018379","7th Heaven","1927","110","Drama,Romance",7.7,2759,42
"383","tt0018451","The Student Prince in Old Heidelberg","1927","106","Drama,Romance",7.7,1234,44.3333333333333
"386","tt0018455","Sunrise","1927","94","Drama,Romance",8.2,43238,28
"387","tt0018471","Tell It to the Marines","1926","103","Comedy,Drama,Romance",7.9,1361,35
"390","tt0018526","Underworld","1927","80","Crime,Drama,Film-Noir",7.7,2198,41.6666666666667
"393","tt0018528","The Unknown","1927","63","Drama,Horror,Romance",7.8,6440,44.3333333333333
"396","tt0018578","Wings","1927","144","Action,Drama,Romance",7.7,10118,25.5
"398","tt0018737","Pandora's Box","1929","109","Crime,Drama,Romance",8,8859,44.6666666666667
"401","tt0018742","The Cameraman","1928","69","Comedy,Drama,Family",8.3,9217,36.6666666666667
"404","tt0018756","Champagne","1928","86","Comedy",5.7,1748,33.75
"408","tt0018770","The Fall of the House of Usher","1928","63","Horror",7.4,3024,52.5
"410","tt0018773","The Circus","1928","72","Comedy,Romance",8.1,22914,44.625
"418","tt0018806","The Crowd","1928","98","Drama,Romance",8,6826,32
"420","tt0018839","The Docks of New York","1928","76","Crime,Drama,Film-Noir",7.7,3485,41.5
"422","tt0018876","The Farmer's Wife","1928","100","Comedy,Drama,Romance",6,2236,42.3333333333333
"425","tt0019071","The Last Command","1928","88","Drama,History,Romance",8,2929,35.6666666666667
"428","tt0019074","Laugh, Clown, Laugh","1928","73","Drama",7.7,1590,52.5
"430","tt0019109","Lonesome","1928","69","Comedy,Drama,Romance",8,1828,31.5
"432","tt0019130","The Man Who Laughs","1928","110","Drama,Horror,Mystery",7.8,4773,23
"434","tt0019195","The Mysterious Lady","1928","96","Drama,Romance",7.3,1098,45
"437","tt0019237","Our Dancing Daughters","1928","85","Drama",7.3,1375,27.5
"439","tt0019254","The Passion of Joan of Arc","1928","110","Biography,Drama,History",8.1,40642,62.3333333333333
"442","tt0019258","The Patsy","1928","78","Comedy,Drama,Romance",8.1,2231,31
"444","tt0019286","Storm Over Asia","1928","127","Drama,War",7.3,1591,40.5
"446","tt0019344","Sadie Thompson","1928","97","Drama",7.9,2382,54.5
"448","tt0019379","Show People","1928","83","Comedy,Romance",8.1,3265,32.6666666666667
"451","tt0019412","Speedy","1928","85","Action,Comedy,Family",7.7,2878,46.6666666666667
"454","tt0019415","Spies","1928","178","Romance,Thriller",7.7,2804,35
"456","tt0019421","Steamboat Bill, Jr.","1928","70","Action,Comedy,Drama",8,11664,49.75
"460","tt0019429","Street Angel","1928","102","Drama",7.5,1944,34
"462","tt0019558","The Wedding March","1928","113","Drama",7.6,1377,45
"464","tt0019563","West of Zanzibar","1928","65","Drama,Mystery",7.3,1430,44.6666666666667
"467","tt0019585","The Wind","1928","95","Drama,Romance,Western",8.3,5532,45
"469","tt0019591","A Woman of Affairs","1928","98","Drama",7.7,1280,34.6666666666667
"472","tt0019644","Applause","1929","80","Drama,Musical",7.3,1198,31.5
"474","tt0019649","Arsenal","1929","90","Drama,War",7.4,1530,31.5
"476","tt0019655","Asphalt","1929","90","Drama",7.5,1220,42
"478","tt0019702","Blackmail","1929","85","Crime,Thriller",7,8621,42
"480","tt0019729","The Broadway Melody","1929","100","Drama,Musical,Romance",6.2,5752,40
"481","tt0019760","Man with a Movie Camera","1929","68","Documentary,Music",8.4,19806,32
"482","tt0019777","The Cocoanuts","1929","96","Comedy,Musical",7.1,6436,37.5
"486","tt0019788","Coquette","1929","76","Drama,Romance",7.1,1860,40.6666666666667
"489","tt0019811","Desert Nights","1929","62","Adventure,Drama,Romance",8,1062,45.6666666666667
"492","tt0019901","Woman in the Moon","1929","156","Comedy,Drama,Romance",7.4,2562,36
"495","tt0019959","Hallelujah","1929","109","Drama,Musical",6.9,1423,36
"497","tt0019993","The Hollywood Revue of 1929","1929","130","Musical",7.4,1694,33
"500","tt0020112","The Love Parade","1929","107","Comedy,Musical,Romance",7.2,1762,39
"502","tt0020122","Lucky Star","1929","100","Drama,Romance",7.9,1043,29
"505","tt0020142","The Manxman","1929","110","Drama,Romance",6.3,2341,46
"508","tt0020143","Marianne","1929","111","Drama,Musical,Romance",8.1,1081,29.6666666666667
"511","tt0020269","Piccadilly","1929","92","Crime,Drama",7.2,1220,40.5
"515","tt0020298","Queen Kelly","1932","101","Drama",7.8,2955,33
"516","tt0020442","Spite Marriage","1929","76","Comedy",7.1,1622,40.5
"518","tt0020475","Diary of a Lost Girl","1929","104","Drama",8,3627,35.3333333333333
"521","tt0020514","The Trespasser","1929","90","Drama",7.8,1170,47.3333333333333
"524","tt0020620","Abraham Lincoln","1930","96","Biography,Drama,History",5.8,1193,49.5
"526","tt0020629","All Quiet on the Western Front","1930","136","Drama,War",8.1,53400,45
"530","tt0020640","Animal Crackers","1930","97","Comedy,Musical",7.6,12224,41.6666666666667
"533","tt0020641","Anna Christie","1930","89","Drama,Romance",6.9,2496,56
"536","tt0020686","The Big House","1930","87","Crime,Drama,Thriller",7.1,1624,37.75
"540","tt0020691","The Big Trail","1930","125","Adventure,Romance,Western",7.2,3044,43
"543","tt0020697","The Blue Angel","1930","104","Drama,Music",7.8,12354,39.5
"545","tt0020768","City Girl","1930","77","Drama,Romance",7.9,2553,48
"547","tt0020815","The Dawn Patrol","1930","108","Action,Drama,War",7.8,1493,29.75
"551","tt0020827","The Divorcee","1930","84","Drama,Romance",6.8,2425,29.3333333333333
"554","tt0020891","The Florodora Girl","1930","79","Drama,Musical,Romance",7.7,1168,36
"557","tt0020960","Hell's Angels","1930","127","Drama,War",7.7,4453,27.3333333333333
"560","tt0021015","Juno and the Paycock","1930","85","Comedy,Drama",4.9,1874,35.5
"562","tt0021079","Little Caesar","1931","79","Action,Crime,Drama",7.3,10749,29.6666666666667
"565","tt0021148","Min and Bill","1930","69","Comedy,Drama",7.3,1408,45
"566","tt0021153","Monte Carlo","1930","90","Comedy,Musical,Romance",6.9,1030,40.5
"568","tt0021156","Morocco","1930","92","Drama,Romance",7.2,4887,37.75
"572","tt0021165","Murder!","1930","104","Crime,Mystery,Thriller",6.4,5049,34.5
"574","tt0021331","The Blood of a Poet","1932","55","Fantasy",7.5,5114,26
"575","tt0021409","Under the Roofs of Paris","1930","96","Comedy,Drama,Musical",7.3,1815,33
"578","tt0021542","Westfront 1918","1930","97","Drama,Romance,War",7.5,1355,33.6666666666667
"581","tt0021571","Earth","1930","75","Drama",7.4,4289,36
"584","tt0021577","L'Age d'Or","1930","60","Comedy,Drama",7.4,11477,41
"586","tt0021622","Arrowsmith","1931","108","Drama",6.2,1340,51
"589","tt0021668","The Black Camel","1931","71","Crime,Mystery,Thriller",7.1,1190,50.5
"591","tt0021673","Blonde Crazy","1931","79","Comedy,Crime,Drama",7.2,1375,34
"593","tt0021730","The Champ","1931","86","Drama,Sport",7.3,2455,30.3333333333333
"596","tt0021739","La Chienne","1931","91","Crime,Drama",7.6,3201,34
"599","tt0021746","Cimarron","1931","123","Drama,Western",6,4777,38
"600","tt0021749","City Lights","1931","87","Comedy,Drama,Romance",8.5,147351,45.5
"602","tt0021750","City Streets","1931","83","Crime,Drama,Film-Noir",7.2,1104,37.3333333333333
"605","tt0021800","Dishonored","1931","91","Drama,Romance,War",7.3,1719,47.5
"611","tt0021814","Dracula","1931","75","Fantasy,Horror",7.6,41194,37
"614","tt0021815","Drácula","1931","104","Fantasy,Horror",7.2,3653,32
"617","tt0021818","The 3 Penny Opera","1931","112","Comedy,Drama,Musical",7.5,1792,46
"619","tt0021873","Five Star Final","1931","89","Crime,Drama",7.3,1499,40
"622","tt0021874","Five and Ten","1931","89","Drama,Romance",7.8,1176,49.5
"624","tt0021884","Frankenstein","1931","70","Drama,Horror,Sci-Fi",7.9,58608,37
"627","tt0021885","A Free Soul","1931","93","Crime,Drama,Romance",6.7,2018,40.3333333333333
"630","tt0021890","The Front Page","1931","101","Comedy",6.8,2058,39.3333333333333
"633","tt0021985","Hyppolit, the Butler","1931","72","Comedy",7.7,1271,46
"635","tt0022000","Indiscreet","1931","92","Comedy,Drama,Musical",7.7,1272,30.5
"637","tt0022017","Comradeship","1931","93","Drama",7.6,1088,36.3333333333333
"640","tt0022054","The Last Flight","1931","76","Drama",7.8,1194,31
"643","tt0022074","The Smiling Lieutenant","1931","93","Comedy,Musical,Romance",7.7,2999,44
"645","tt0022100","M","1931","117","Crime,Mystery,Thriller",8.3,128022,32.5
"647","tt0022111","The Maltese Falcon","1931","80","Crime,Drama,Film-Noir",7.3,2526,41.5
"649","tt0022125","Marius","1931","130","Comedy,Drama,Romance",7.8,1768,42
"652","tt0022150","Le Million","1931","81","Comedy,Musical",7.5,2941,40.6666666666667
"655","tt0022153","The Miracle Woman","1931","90","Drama,Romance",7.2,1615,39
"657","tt0022158","Monkey Business","1931","77","Comedy,Musical",7.6,10422,42.6666666666667
"660","tt0022208","Night Nurse","1931","72","Comedy,Crime,Drama",7,2892,30
"662","tt0022251","Pardon Us","1931","56","Comedy,Crime,Drama",7,1940,47.2
"667","tt0022264","The Phantom of Paris","1931","74","Drama,Thriller",7.4,1204,43.6666666666667
"670","tt0022268","Platinum Blonde","1931","89","Comedy,Romance",6.9,2583,45.5
"672","tt0022276","Possessed","1931","76","Drama,Romance",6.9,1504,34.3333333333333
"675","tt0022286","The Public Enemy","1931","83","Crime,Drama",7.7,16072,30
"677","tt0022395","The Skin Game","1931","85","Drama",5.9,2570,58.5
"679","tt0022403","Smart Money","1931","81","Crime,Drama",6.9,1514,34
"682","tt0022436","Street Scene","1931","80","Drama,Romance",7.7,1277,29
"683","tt0022454","Svengali","1931","81","Drama,Horror,Romance",6.9,1566,41.6666666666667
"686","tt0022458","Tabu: A Story of the South Seas","1931","86","Adventure,Drama,Romance",7.6,4397,39
"687","tt0022485","Tokyo Chorus","1931","90","Comedy,Drama",7.4,1103,17.5
"689","tt0022489","Tonight or Never","1931","80","Comedy,Romance",7.7,1281,51.5
"691","tt0022550","Waterloo Bridge","1931","81","Drama,Romance",7.6,2233,48.5
"693","tt0022599","À Nous la Liberté","1931","104","Comedy,Musical",7.6,3697,40.3333333333333
"696","tt0022626","American Madness","1932","75","Drama",7.5,1664,41
"698","tt0022685","A Bill of Divorcement","1932","70","Drama",6.6,1326,40.5
"700","tt0022694","The Blue Light","1932","85","Drama,Fantasy,Mystery",6.9,1025,31.5
"702","tt0022698","Blonde Venus","1932","93","Drama",7.2,3823,25.6666666666667
"705","tt0022700","Blondie of the Follies","1932","91","Comedy,Musical",7.8,1018,33.5
"707","tt0022718","Boudu Saved from Drowning","1932","85","Comedy",7.5,4707,34.5
"709","tt0022735","The Cabin in the Cotton","1932","78","Drama",7.1,1302,39.6666666666667
"712","tt0022787","Wooden Crosses","1932","115","Drama,War",7.7,1053,42
"716","tt0022827","Doctor X","1932","76","Comedy,Crime,Horror",6.5,2489,37.6666666666667
"719","tt0022834","Downstairs","1932","77","Drama,Romance",7.7,1533,38
"721","tt0022835","Dr. Jekyll and Mr. Hyde","1931","98","Horror,Sci-Fi",7.7,11412,45.6666666666667
"724","tt0022867","Ecstasy","1933","82","Drama,Romance",6.8,1882,46.3333333333333
"727","tt0022877","Fanny","1932","140","Comedy,Drama",7.7,1343,43
"730","tt0022879","A Farewell to Arms","1932","80","Drama,Romance,War",6.5,4416,36.5
"732","tt0022905","Forbidden","1932","85","Drama,Romance",7,1116,35
"734","tt0022913","Freaks","1932","64","Drama,Horror",7.9,38225,35.5
"736","tt0022958","Grand Hotel","1932","112","Drama,Romance",7.5,15660,48.5
"738","tt0023027","Horse Feathers","1932","68","Comedy,Musical,Romance",7.7,10818,43.6666666666667
"741","tt0023042","I Am a Fugitive from a Chain Gang","1932","92","Crime,Drama,Film-Noir",8.1,10540,37
"742","tt0023049","If I Had a Million","1932","88","Comedy,Drama",7.1,1451,36.75
"746","tt0023074","Jewel Robbery","1932","68","Comedy,Crime,Romance",7.4,1560,34.5
"748","tt0023158","Love Me Tonight","1932","104","Comedy,Musical,Romance",7.7,3287,42
"751","tt0023194","The Mask of Fu Manchu","1932","68","Adventure,Horror,Sci-Fi",6.4,2786,42.3333333333333
"754","tt0023196","Mata Hari","1931","89","Crime,Drama,Romance",6.7,3014,45.6666666666667
"757","tt0023238","The Most Dangerous Game","1932","63","Action,Adventure,Thriller",7.2,9039,37
"760","tt0023241","Movie Crazy","1932","84","Comedy,Family,Romance",7.2,1250,36
"762","tt0023245","The Mummy","1932","73","Fantasy,Horror",7.2,20689,45.3333333333333
"765","tt0023249","Murders in the Rue Morgue","1932","61","Crime,Horror,Mystery",6.4,3248,40.3333333333333
"768","tt0023285","Number 17","1932","66","Crime,Mystery,Thriller",5.8,4111,43.6666666666667
"771","tt0023293","The Old Dark House","1932","72","Comedy,Horror,Thriller",7.2,7667,36.3333333333333
"774","tt0023303","One Hour with You","1932","78","Comedy,Musical,Romance",7.3,1833,44
"775","tt0023305","One Way Passage","1932","67","Comedy,Drama,Romance",8,3032,37
"777","tt0023312","Pack Up Your Troubles","1932","68","Comedy,War",7.3,1857,37
"780","tt0023362","The Purchase Price","1932","68","Comedy,Drama",6.5,1224,35
"784","tt0023369","Rain","1932","94","Drama",6.9,2157,40.3333333333333
"787","tt0023382","Red Dust","1932","83","Drama,Romance",7.4,3379,27.5
"789","tt0023385","Red-Headed Woman","1932","79","Comedy,Romance",7.1,2395,42
"791","tt0023395","East of Shanghai","1931","92","Comedy,Romance,Thriller",5.9,3671,41
"793","tt0023427","Scarface","1932","93","Action,Crime,Drama",7.8,22898,38.5
"795","tt0023458","Shanghai Express","1932","82","Adventure,Drama,Romance",7.4,6519,50.75
"799","tt0023470","The Sign of the Cross","1932","108","Drama,History",6.9,1796,34
"801","tt0023491","So Big!","1932","81","Drama,Romance",7.2,1194,17.5
"803","tt0023551","Tarzan the Ape Man","1932","100","Action,Adventure,Romance",7.2,6465,43.3333333333333
"806","tt0023556","Taxi","1932","69","Crime,Drama,Romance",6.7,1021,37.3333333333333
"809","tt0023563","The Testament of Dr. Mabuse","1933","122","Crime",7.9,10247,37.25
"813","tt0023590","Three on a Match","1932","63","Crime,Drama,Romance",7.3,2856,38
"814","tt0023622","Trouble in Paradise","1932","83","Comedy,Crime,Romance",8.1,11719,44
"816","tt0023634","I Was Born, But...","1932","100","Comedy,Drama",8,4227,15.6666666666667
"819","tt0023649","Vampyr","1932","75","Fantasy,Horror",7.6,13732,47
"821","tt0023686","What Price Hollywood?","1932","88","Drama",7.6,1883,37.3333333333333
"824","tt0023694","White Zombie","1932","69","Horror",6.4,8245,51.6666666666667
"827","tt0023731","20,000 Years in Sing Sing","1932","78","Crime,Drama,Film-Noir",7.1,2148,40.6666666666667
"830","tt0023753","Alice in Wonderland","1933","76","Adventure,Family,Fantasy",6.5,1723,38.25
"834","tt0023775","Baby Face","1933","71","Drama,Romance",7.6,5422,40
"837","tt0023814","The Bitter Tea of General Yen","1932","88","Drama,Romance,War",7.1,3131,40
"839","tt0023825","Bombshell","1933","96","Comedy,Drama,Romance",7.3,2030,35.3333333333333
"842","tt0023871","A Song of Lisbon","1933","85","Comedy,Musical",7.7,1177,41
"844","tt0023876","Cavalcade","1933","112","Drama,Romance,War",6,3963,40.5
"846","tt0023891","Christopher Strong","1933","78","Action,Adventure,Drama",6.4,1118,33
"847","tt0023911","Counsellor at Law","1933","82","Comedy,Drama",7.7,1023,51
"848","tt0023926","Dancing Lady","1933","92","Comedy,Musical,Romance",6.7,1798,30
"850","tt0023937","Passing Fancy","1933","100","Drama",7.5,1136,30
"852","tt0023940","Design for Living","1933","91","Comedy,Romance",7.6,5035,38.3333333333333
"855","tt0023943","The Devil's Brother","1933","90","Comedy,Musical",7.2,1615,40
